misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
4260,1533960,406,3.9159511300000003,1.3849748492240905,0.006526908481464489,1.9370091676712036
4280,1541160,406,3.0661376900000006,1.384592354297638,0.017053551273420453,2.0300168633460998
4300,1548360,406,3.4800697899999995,1.384394681453705,0.027811077982187273,5.697361266613006
4320,1555560,406,3.7828138199999994,1.384525465965271,0.020634773839265107,1.3444376945495606
4340,1562760,406,4.499653469999999,1.3843222856521606,0.014771053194999694,1.882050669193268
4360,1569960,406,2.4776998700000004,1.38406662940979,0.010212880838662387,1.1832240283489228
4380,1577160,406,4.405568110000001,1.3838554263114928,0.01590065285563469,1.413319993019104
4400,1584360,406,3.8669410899999996,1.3837260365486146,0.02317737936973572,1.5154437661170959
4420,1591560,406,4.078494340000001,1.38346666097641,0.016315437853336334,1.8545532464981078
4440,1598760,406,3.83261242,1.3834922432899475,0.01273537203669548,4.458875775337219
4460,1605960,406,3.97196102,1.3834556937217712,0.019450985221192242,1.9013966083526612
4480,1613160,406,3.8034630999999997,1.3832459330558777,0.007588732615113258,2.1218674778938293
4500,1620360,406,3.8633456699999997,1.3827212810516358,0.029288464039564133,2.574684906005859
4520,1627560,405,3.1447235899999995,1.3824891209602357,0.027382269501686096,3.869987094402313
4540,1634760,405,3.7235881499999994,1.3825258016586304,0.019232800230383873,4.07442786693573
4560,1641960,405,3.655691600000001,1.3825116395950316,0.020790213346481325,3.4610870599746706
4580,1649160,405,4.05333484,1.3822251677513122,0.012985753372777253,3.6438080221414566
4600,1656360,405,4.51022472,1.382219171524048,0.012597963120788336,1.7803888082504273
4620,1663560,405,4.75753482,1.3822771310806274,0.012165525555610656,2.696173918247223
4640,1670760,405,4.67977302,1.3824239015579223,0.021945203840732574,4.146746647357941
4660,1677960,405,3.9180075199999997,1.3825596690177917,0.0383293554186821,1.506413185596466
4680,1685160,405,4.094804120000001,1.3824380159378051,0.003459803853183985,1.4705607354640962
4700,1692360,405,4.2012206,1.382466185092926,0.016588965617120265,1.3615185022354126
4720,1699560,405,3.443357549999999,1.3823920488357544,0.010364935919642448,2.0530222415924073
4740,1706760,405,2.90059189,1.3822053790092468,0.009765455219894647,3.6655653357505797
4760,1713960,405,4.05215647,1.3817974090576173,0.020802654325962067,1.9414850354194642
4780,1721160,405,3.3990897699999993,1.3816030144691467,0.018491178564727307,1.5575899004936218
4800,1728360,405,4.21273398,1.3816764593124389,0.010606060735881329,2.273176574707031
4820,1735560,405,4.22408873,1.3811952352523804,0.015145814698189496,1.9324026823043823
4840,1742760,405,4.288602430000001,1.38154855966568,0.013185208290815353,5.688817703723908
4860,1749960,405,3.2158679200000004,1.381170129776001,0.029345054738223554,1.5813604593276978
